Gender_F_Flag,Gender_M_Flag,Residence_distance_from_store,time_in_store,accompanying_people,family_size,total_purchase_amount,F1,F2,F3,F4
1,0,4,51,1,5,1465,51,2601,1,16
1,0,3,51,2,4,1605,51,2601,4,9
1,0,4,53,4,3,1917,53,2809,16,16
0,1,3,36,2,4,1106,0,1296,4,9
0,1,2,35,1,4,553,0,1225,1,4
1,0,6,54,6,5,1997,54,2916,36,36
0,1,9,39,3,3,1587,0,1521,9,81
0,1,4,37,2,3,1637,0,1369,4,16
1,0,6,52,2,3,1721,52,2704,4,36
0,1,5,37,2,4,1281,0,1369,4,25
1,0,7,53,3,4,1617,53,2809,9,49
0,1,4,37,3,3,1449,0,1369,9,16
1,0,8,53,2,3,1775,53,2809,4,64
0,1,2,35,1,4,510,0,1225,1,4
1,0,5,53,3,4,1387,53,2809,9,25
1,0,1,49,0,3,1078,49,2401,0,1
1,0,4,52,3,4,1694,52,2704,9,16
1,0,4,52,2,5,1380,52,2704,4,16
0,1,4,37,3,5,1282,0,1369,9,16
0,1,2,37,5,5,1777,0,1369,25,4
1,0,5,52,2,5,1175,52,2704,4,25
0,1,7,37,1,3,1151,0,1369,1,49
0,1,5,38,4,4,1787,0,1444,16,25
1,0,4,54,6,3,2504,54,2916,36,16
1,0,3,52,3,4,1274,52,2704,9,9
1,0,6,54,6,4,1821,54,2916,36,36
0,1,6,38,3,5,1298,0,1444,9,36
1,0,3,52,4,5,1643,52,2704,16,9
0,1,4,37,2,4,1335,0,1369,4,16
1,0,4,52,3,4,1063,52,2704,9,16
0,1,5,37,2,5,1341,0,1369,4,25
0,1,7,40,8,4,2940,0,1600,64,49
1,0,10,53,1,5,1836,53,2809,1,100
1,0,2,49,0,2,993,49,2401,0,4
1,0,5,53,3,4,1362,53,2809,9,25
0,1,7,38,2,5,1674,0,1444,4,49
1,0,3,50,0,5,1169,50,2500,0,9
0,1,7,38,2,5,1593,0,1444,4,49
0,1,8,36,0,6,1044,0,1296,0,64
0,1,1,35,2,5,393,0,1225,4,1
1,0,8,53,3,2,1787,53,2809,9,64
1,0,7,52,1,3,1338,52,2704,1,49
1,0,7,52,1,3,1169,52,2704,1,49
0,1,6,36,0,4,864,0,1296,0,36
1,0,7,53,3,5,1993,53,2809,9,49
0,1,2,36,2,4,1392,0,1296,4,4
1,0,7,54,5,5,2405,54,2916,25,49
0,1,8,38,2,2,1441,0,1444,4,64
1,0,6,52,2,5,1211,52,2704,4,36
0,1,6,37,2,4,1613,0,1369,4,36
1,0,5,52,2,3,981,52,2704,4,25
1,0,8,54,4,2,2297,54,2916,16,64
1,0,7,53,2,7,1700,53,2809,4,49
0,1,4,37,2,3,742,0,1369,4,16
0,1,4,37,2,4,1267,0,1369,4,16
1,0,7,53,2,4,1405,53,2809,4,49
0,1,8,38,2,3,1907,0,1444,4,64
1,0,3,52,4,3,1805,52,2704,16,9
0,1,5,36,1,3,1464,0,1296,1,25
0,1,5,38,4,3,1354,0,1444,16,25
1,0,3,52,4,3,1995,52,2704,16,9
0,1,8,38,3,4,1814,0,1444,9,64
1,0,5,55,8,2,2638,55,3025,64,25
1,0,7,52,1,5,1487,52,2704,1,49
1,0,4,54,6,4,2021,54,2916,36,16
1,0,5,54,7,6,2265,54,2916,49,25
1,0,3,51,2,5,776,51,2601,4,9
1,0,2,52,5,5,1639,52,2704,25,4
1,0,1,51,4,4,1726,51,2601,16,1
1,0,2,52,5,6,1415,52,2704,25,4
0,1,6,37,1,3,1600,0,1369,1,36
1,0,3,53,6,5,2051,53,2809,36,9
1,0,6,51,0,4,851,51,2601,0,36
0,1,10,40,5,4,2642,0,1600,25,100
1,0,6,52,2,5,1878,52,2704,4,36
1,0,2,53,6,5,1233,53,2809,36,4
1,0,5,54,5,4,2085,54,2916,25,25
1,0,5,53,4,3,1719,53,2809,16,25
1,0,6,53,3,4,1402,53,2809,9,36
1,0,6,51,0,5,1397,51,2601,0,36
1,0,2,52,5,6,1854,52,2704,25,4
1,0,0,49,2,3,984,49,2401,4,0
0,1,6,39,5,3,2215,0,1521,25,36
0,1,5,35,0,5,1393,0,1225,0,25
1,0,4,53,4,2,1710,53,2809,16,16
0,1,2,37,4,4,1017,0,1369,16,4
1,0,7,54,5,4,1848,54,2916,25,49
1,0,5,51,1,3,1484,51,2601,1,25
0,1,10,40,6,3,2365,0,1600,36,100
0,1,7,37,1,4,1687,0,1369,1,49
1,0,5,53,4,3,1748,53,2809,16,25
1,0,4,52,2,3,1935,52,2704,4,16
1,0,8,54,5,4,1990,54,2916,25,64
1,0,8,53,2,3,1968,53,2809,4,64
1,0,4,54,7,6,2258,54,2916,49,16
0,1,5,38,3,5,1602,0,1444,9,25
1,0,3,52,3,3,1078,52,2704,9,9
1,0,6,52,1,4,1293,52,2704,1,36
1,0,2,52,4,3,1746,52,2704,16,4
1,0,7,52,1,4,1973,52,2704,1,49
0,1,6,37,2,3,1418,0,1369,4,36
1,0,3,51,1,4,909,51,2601,1,9
1,0,6,52,2,4,1080,52,2704,4,36
1,0,7,54,4,4,2083,54,2916,16,49
1,0,4,52,2,5,1517,52,2704,4,16
1,0,9,52,1,4,1767,52,2704,1,81
1,0,3,52,3,4,1555,52,2704,9,9
0,1,5,39,6,3,1691,0,1521,36,25
1,0,2,51,2,4,1315,51,2601,4,4
1,0,7,54,4,4,2416,54,2916,16,49
0,1,7,38,2,5,1719,0,1444,4,49
1,0,7,53,2,5,1888,53,2809,4,49
1,0,7,52,1,5,1590,52,2704,1,49
1,0,4,52,2,4,1180,52,2704,4,16
1,0,3,51,1,3,737,51,2601,1,9
0,1,3,37,3,3,1222,0,1369,9,9
1,0,6,53,3,4,1210,53,2809,9,36
0,1,4,37,2,4,1144,0,1369,4,16
1,0,3,52,3,2,1659,52,2704,9,9
0,1,4,38,4,5,1632,0,1444,16,16
1,0,8,55,6,4,2448,55,3025,36,64
0,1,3,38,5,3,1436,0,1444,25,9
1,0,2,51,3,3,912,51,2601,9,4
1,0,4,52,2,4,1503,52,2704,4,16
0,1,7,38,2,5,1772,0,1444,4,49
1,0,7,53,2,4,1557,53,2809,4,49
1,0,5,54,6,4,1976,54,2916,36,25
1,0,4,52,2,5,1089,52,2704,4,16
1,0,2,50,1,4,821,50,2500,1,4
1,0,2,52,5,3,1914,52,2704,25,4
1,0,2,50,1,6,914,50,2500,1,4
1,0,5,54,5,3,1793,54,2916,25,25
0,1,4,37,3,3,1041,0,1369,9,16
0,1,8,39,4,4,1768,0,1521,16,64
1,0,5,53,4,2,2016,53,2809,16,25
1,0,3,52,3,3,1723,52,2704,9,9
1,0,3,53,6,5,1494,53,2809,36,9
1,0,4,52,2,5,1105,52,2704,4,16
1,0,4,55,8,4,2606,55,3025,64,16
1,0,6,54,5,2,2245,54,2916,25,36
0,1,2,36,2,5,1032,0,1296,4,4
1,0,5,53,3,4,1584,53,2809,9,25
0,1,4,37,2,3,1276,0,1369,4,16
0,1,1,36,3,3,1218,0,1296,9,1
1,0,5,52,2,4,1110,52,2704,4,25
1,0,5,53,4,3,1445,53,2809,16,25
1,0,5,53,4,4,1983,53,2809,16,25
1,0,6,52,1,3,1499,52,2704,1,36
1,0,4,52,2,4,1155,52,2704,4,16
1,0,3,51,1,5,892,51,2601,1,9
0,1,5,38,3,3,1953,0,1444,9,25
0,1,5,38,3,3,1383,0,1444,9,25
1,0,7,55,6,5,2107,55,3025,36,49
1,0,5,52,2,4,1864,52,2704,4,25
1,0,7,53,2,5,1464,53,2809,4,49
1,0,3,53,6,4,1335,53,2809,36,9
0,1,7,39,4,5,1427,0,1521,16,49
0,1,3,36,1,3,767,0,1296,1,9
0,1,1,36,4,4,1496,0,1296,16,1
1,0,9,53,2,4,2049,53,2809,4,81
1,0,2,52,5,4,1348,52,2704,25,4
1,0,3,52,4,5,1135,52,2704,16,9
0,1,3,35,0,6,746,0,1225,0,9
1,0,8,55,6,2,2693,55,3025,36,64
1,0,5,52,2,4,1648,52,2704,4,25
1,0,6,52,2,2,1505,52,2704,4,36
1,0,6,53,3,4,1725,53,2809,9,36
1,0,5,53,3,3,1477,53,2809,9,25
0,1,7,39,4,5,2121,0,1521,16,49
1,0,7,53,3,4,1825,53,2809,9,49
1,0,4,53,5,5,1528,53,2809,25,16
1,0,5,53,3,2,1422,53,2809,9,25
0,1,4,38,5,5,1664,0,1444,25,16
1,0,9,54,4,5,1858,54,2916,16,81
1,0,8,52,1,4,1134,52,2704,1,64
1,0,3,51,2,3,1203,51,2601,4,9
1,0,0,49,2,4,1286,49,2401,4,0
1,0,2,50,1,4,940,50,2500,1,4
1,0,3,52,4,3,1689,52,2704,16,9
1,0,5,53,4,4,2251,53,2809,16,25
0,1,4,37,3,3,1718,0,1369,9,16
1,0,2,50,1,4,823,50,2500,1,4
1,0,4,51,1,4,1260,51,2601,1,16
1,0,7,53,2,4,1027,53,2809,4,49
1,0,6,53,3,4,1434,53,2809,9,36
0,1,2,37,4,3,1400,0,1369,16,4
1,0,4,52,3,5,1626,52,2704,9,16
1,0,5,52,2,3,1692,52,2704,4,25
0,1,7,38,3,5,1606,0,1444,9,49
1,0,7,55,8,4,3211,55,3025,64,49
1,0,4,53,4,3,1435,53,2809,16,16
1,0,3,52,4,5,1418,52,2704,16,9
0,1,6,38,3,6,1008,0,1444,9,36
1,0,1,50,2,4,1025,50,2500,4,1
1,0,1,50,1,4,767,50,2500,1,1
1,0,4,51,1,4,1098,51,2601,1,16
1,0,2,50,1,3,673,50,2500,1,4
0,1,3,36,1,4,606,0,1296,1,9
1,0,2,52,5,4,1981,52,2704,25,4
1,0,4,52,3,4,1387,52,2704,9,16
0,1,9,40,6,4,2973,0,1600,36,81
1,0,2,52,4,5,1418,52,2704,16,4
1,0,8,53,3,5,1787,53,2809,9,64
1,0,8,53,2,3,2041,53,2809,4,64
1,0,8,53,2,5,1743,53,2809,4,64
1,0,5,53,3,3,1697,53,2809,9,25
0,1,4,36,1,4,916,0,1296,1,16
0,1,5,36,1,5,1024,0,1296,1,25
1,0,4,51,1,5,1444,51,2601,1,16
1,0,4,52,3,6,1354,52,2704,9,16
0,1,6,38,3,3,1643,0,1444,9,36
1,0,9,52,1,3,1393,52,2704,1,81
0,1,6,38,4,4,1769,0,1444,16,36
1,0,3,52,3,2,1528,52,2704,9,9
1,0,4,51,1,3,1177,51,2601,1,16
1,0,3,53,5,3,1645,53,2809,25,9
1,0,6,53,4,4,1573,53,2809,16,36
0,1,7,36,0,4,923,0,1296,0,49
1,0,7,53,3,5,1844,53,2809,9,49
0,1,5,37,2,1,1031,0,1369,4,25
1,0,4,53,5,5,2452,53,2809,25,16
1,0,3,51,2,4,1250,51,2601,4,9
0,1,7,38,2,4,1773,0,1444,4,49
1,0,6,53,3,4,1083,53,2809,9,36
0,1,9,38,2,5,1361,0,1444,4,81
0,1,12,40,4,3,2449,0,1600,16,144
1,0,9,53,2,4,1879,53,2809,4,81
0,1,2,37,5,3,1312,0,1369,25,4
1,0,6,52,1,4,1239,52,2704,1,36
1,0,3,51,1,3,828,51,2601,1,9
0,1,6,39,5,3,2111,0,1521,25,36
1,0,1,50,1,4,542,50,2500,1,1
0,1,6,37,1,4,1106,0,1369,1,36
0,1,4,39,7,3,2013,0,1521,49,16
1,0,5,53,4,5,1853,53,2809,16,25
0,1,8,37,1,5,1374,0,1369,1,64
1,0,6,52,2,4,1768,52,2704,4,36
1,0,6,55,8,3,2112,55,3025,64,36
1,0,8,53,2,3,1723,53,2809,4,64
1,0,4,51,1,6,1268,51,2601,1,16
1,0,3,50,0,5,984,50,2500,0,9
1,0,1,51,3,4,1330,51,2601,9,1
1,0,4,53,5,5,2003,53,2809,25,16
1,0,4,53,4,4,1880,53,2809,16,16
1,0,7,51,0,6,979,51,2601,0,49
1,0,6,53,4,5,1523,53,2809,16,36
0,1,6,37,2,5,1199,0,1369,4,36
1,0,3,52,4,5,1966,52,2704,16,9
1,0,6,53,3,2,1353,53,2809,9,36
1,0,7,54,4,4,1537,54,2916,16,49
1,0,1,50,2,3,775,50,2500,4,1
0,1,3,37,4,4,1197,0,1369,16,9
1,0,7,54,4,6,1994,54,2916,16,49
1,0,3,52,4,5,2003,52,2704,16,9
1,0,7,53,2,4,1562,53,2809,4,49
0,1,4,37,2,3,1678,0,1369,4,16
1,0,5,50,0,4,1208,50,2500,0,25
0,1,6,41,9,3,2306,0,1681,81,36
1,0,9,56,7,1,2890,56,3136,49,81
1,0,5,52,2,5,1558,52,2704,4,25
1,0,8,51,0,6,1726,51,2601,0,64
1,0,4,50,0,3,1271,50,2500,0,16
1,0,3,51,1,4,1246,51,2601,1,9
1,0,5,50,0,4,1091,50,2500,0,25
0,1,5,37,2,6,1369,0,1369,4,25
1,0,4,52,3,4,1551,52,2704,9,16
1,0,2,52,4,6,1541,52,2704,16,4
1,0,11,53,1,5,1924,53,2809,1,121
1,0,6,53,3,4,1694,53,2809,9,36
0,1,3,36,1,4,1329,0,1296,1,9
1,0,4,54,7,1,1933,54,2916,49,16
1,0,5,54,7,3,1871,54,2916,49,25
1,0,2,50,1,4,1253,50,2500,1,4
0,1,3,36,2,4,1190,0,1296,4,9
0,1,8,38,2,2,1623,0,1444,4,64
0,1,3,36,2,3,1696,0,1296,4,9
0,1,4,37,3,4,1566,0,1369,9,16
1,0,2,53,6,5,1708,53,2809,36,4
0,1,5,39,5,4,1557,0,1521,25,25
1,0,7,52,1,5,1752,52,2704,1,49
0,1,8,38,3,4,2097,0,1444,9,64
1,0,8,53,2,1,2090,53,2809,4,64
1,0,3,52,3,3,1128,52,2704,9,9
1,0,3,51,1,3,998,51,2601,1,9
1,0,5,50,0,4,861,50,2500,0,25
1,0,4,50,0,4,761,50,2500,0,16
1,0,6,52,1,3,1625,52,2704,1,36
1,0,4,52,2,5,1598,52,2704,4,16
1,0,3,50,0,4,1181,50,2500,0,9
1,0,7,53,2,4,1674,53,2809,4,49
0,1,7,38,3,5,1609,0,1444,9,49
1,0,5,50,0,5,1093,50,2500,0,25
1,0,4,51,1,3,928,51,2601,1,16
1,0,7,53,3,2,2008,53,2809,9,49
1,0,2,52,5,5,1838,52,2704,25,4
0,1,4,37,3,3,1494,0,1369,9,16
1,0,5,54,7,4,2499,54,2916,49,25
1,0,4,51,1,3,1469,51,2601,1,16
0,1,6,39,6,4,1473,0,1521,36,36
1,0,7,52,1,4,1296,52,2704,1,49
0,1,6,39,6,5,2319,0,1521,36,36
1,0,2,52,5,4,1298,52,2704,25,4
0,1,5,37,2,4,1182,0,1369,4,25
0,1,4,35,0,3,749,0,1225,0,16
1,0,7,53,3,5,1845,53,2809,9,49
0,1,8,37,1,4,1879,0,1369,1,64
1,0,3,52,3,3,1505,52,2704,9,9
0,1,4,37,2,2,1410,0,1369,4,16
1,0,5,54,5,4,2098,54,2916,25,25
1,0,4,53,4,4,2132,53,2809,16,16
1,0,6,53,4,4,1941,53,2809,16,36
1,0,1,50,2,4,1250,50,2500,4,1
0,1,7,39,4,5,1859,0,1521,16,49
1,0,9,52,1,4,1490,52,2704,1,81
1,0,5,53,3,4,1571,53,2809,9,25
0,1,2,35,1,2,418,0,1225,1,4
0,1,4,37,2,3,1241,0,1369,4,16
1,0,2,50,1,3,590,50,2500,1,4
1,0,6,53,4,3,1706,53,2809,16,36
1,0,3,52,3,3,1677,52,2704,9,9
1,0,3,53,6,6,1556,53,2809,36,9
1,0,9,54,4,4,2356,54,2916,16,81
1,0,5,53,4,2,1782,53,2809,16,25
0,1,9,39,3,4,2034,0,1521,9,81
1,0,5,52,2,5,1693,52,2704,4,25
1,0,6,51,0,6,949,51,2601,0,36
0,1,3,36,2,3,882,0,1296,4,9
1,0,10,55,6,6,2288,55,3025,36,100
1,0,6,53,3,4,1299,53,2809,9,36
1,0,3,53,5,3,2003,53,2809,25,9
1,0,6,52,2,4,1904,52,2704,4,36
1,0,6,54,6,4,2204,54,2916,36,36
1,0,4,53,5,2,1440,53,2809,25,16
1,0,5,54,5,4,2201,54,2916,25,25
1,0,6,52,1,5,861,52,2704,1,36
1,0,1,50,2,5,948,50,2500,4,1
1,0,4,54,6,3,1932,54,2916,36,16
1,0,4,52,3,5,1454,52,2704,9,16
1,0,3,52,4,5,1262,52,2704,16,9
0,1,9,37,1,4,1533,0,1369,1,81
0,1,2,37,4,6,1258,0,1369,16,4
1,0,4,52,3,3,1574,52,2704,9,16
1,0,7,52,1,3,1428,52,2704,1,49
1,0,3,53,5,4,1558,53,2809,25,9
1,0,5,53,3,4,2079,53,2809,9,25
1,0,2,52,4,6,1273,52,2704,16,4
0,1,6,39,5,5,1655,0,1521,25,36
0,1,4,35,0,4,385,0,1225,0,16
0,1,4,38,4,6,1135,0,1444,16,16
1,0,4,54,6,3,1810,54,2916,36,16
1,0,11,54,2,3,2045,54,2916,4,121
1,0,5,53,4,3,1346,53,2809,16,25
1,0,6,52,2,3,1754,52,2704,4,36
1,0,5,52,2,4,1276,52,2704,4,25
1,0,3,51,2,5,1522,51,2601,4,9
1,0,7,53,3,4,2526,53,2809,9,49
0,1,4,36,1,5,794,0,1296,1,16
1,0,7,54,4,5,1821,54,2916,16,49
1,0,8,54,4,3,2205,54,2916,16,64
0,1,11,40,4,3,2136,0,1600,16,121
1,0,3,52,3,4,1134,52,2704,9,9
1,0,7,54,4,2,2312,54,2916,16,49
1,0,7,53,2,3,1750,53,2809,4,49
1,0,3,52,3,3,1607,52,2704,9,9
1,0,7,54,5,5,2154,54,2916,25,49
1,0,4,52,2,2,1695,52,2704,4,16
1,0,7,53,3,4,1835,53,2809,9,49
1,0,5,52,2,5,881,52,2704,4,25
1,0,7,54,4,4,1926,54,2916,16,49
1,0,4,51,1,5,1279,51,2601,1,16
1,0,5,53,3,5,1426,53,2809,9,25
0,1,3,37,4,3,1329,0,1369,16,9
1,0,8,52,1,4,1833,52,2704,1,64
1,0,6,53,3,5,1688,53,2809,9,36
1,0,3,52,3,4,1204,52,2704,9,9
1,0,6,52,2,5,1454,52,2704,4,36
1,0,3,52,4,3,1312,52,2704,16,9
0,1,2,37,5,3,1291,0,1369,25,4
1,0,2,51,2,3,1519,51,2601,4,4
1,0,5,52,2,3,1102,52,2704,4,25
1,0,6,54,6,5,2139,54,2916,36,36
0,1,4,38,4,3,1588,0,1444,16,16
0,1,8,39,4,4,2275,0,1521,16,64
1,0,7,51,0,4,838,51,2601,0,49
0,1,6,37,2,4,1223,0,1369,4,36
1,0,2,52,4,3,2137,52,2704,16,4
0,1,6,39,5,4,1743,0,1521,25,36
1,0,3,51,1,3,1213,51,2601,1,9
1,0,8,53,2,5,2146,53,2809,4,64
1,0,5,54,7,5,1939,54,2916,49,25
1,0,6,53,3,3,2074,53,2809,9,36
1,0,4,53,5,3,2097,53,2809,25,16
1,0,7,52,1,5,1224,52,2704,1,49
0,1,5,37,2,3,1086,0,1369,4,25
1,0,6,52,2,4,1751,52,2704,4,36
0,1,7,38,3,3,1547,0,1444,9,49
1,0,3,50,0,4,832,50,2500,0,9
0,1,4,36,1,4,965,0,1296,1,16
1,0,5,52,2,4,1626,52,2704,4,25
1,0,4,52,2,4,1566,52,2704,4,16
0,1,5,39,6,4,1842,0,1521,36,25
1,0,7,52,1,5,1252,52,2704,1,49
1,0,3,51,1,5,1118,51,2601,1,9
0,1,3,37,3,5,977,0,1369,9,9
1,0,7,52,1,3,1510,52,2704,1,49
1,0,11,54,2,6,1729,54,2916,4,121
1,0,6,54,5,4,2099,54,2916,25,36
1,0,7,54,4,4,2127,54,2916,16,49
0,1,2,38,7,4,1501,0,1444,49,4
1,0,10,55,6,4,2576,55,3025,36,100
1,0,4,52,3,5,1451,52,2704,9,16
0,1,6,37,1,3,1030,0,1369,1,36
1,0,4,52,2,4,1795,52,2704,4,16
0,1,5,37,2,4,1289,0,1369,4,25
1,0,8,54,4,5,2960,54,2916,16,64
0,1,2,36,2,4,601,0,1296,4,4
1,0,2,50,1,5,1287,50,2500,1,4
1,0,5,54,5,4,1623,54,2916,25,25
1,0,2,51,2,3,811,51,2601,4,4
1,0,5,52,2,5,1388,52,2704,4,25
1,0,5,53,3,3,1611,53,2809,9,25
1,0,4,52,3,4,2002,52,2704,9,16
0,1,5,39,5,4,1621,0,1521,25,25
0,1,5,39,5,4,1903,0,1521,25,25
0,1,8,38,2,4,1219,0,1444,4,64
1,0,3,52,3,2,1636,52,2704,9,9
1,0,2,52,4,4,1293,52,2704,16,4
1,0,7,53,3,6,1975,53,2809,9,49
1,0,5,53,4,2,2341,53,2809,16,25
0,1,7,39,4,4,1970,0,1521,16,49
0,1,11,38,1,6,1703,0,1444,1,121
0,1,1,35,1,5,921,0,1225,1,1
1,0,6,52,1,4,1241,52,2704,1,36
1,0,7,55,7,5,2434,55,3025,49,49
1,0,6,54,5,5,2276,54,2916,25,36
0,1,3,37,3,5,1217,0,1369,9,9
1,0,8,53,2,5,1815,53,2809,4,64
1,0,5,52,2,3,1471,52,2704,4,25
1,0,7,53,3,3,2107,53,2809,9,49
0,1,6,37,2,4,1670,0,1369,4,36
0,1,5,38,3,5,2054,0,1444,9,25
1,0,9,54,4,3,2592,54,2916,16,81
1,0,4,54,6,3,2047,54,2916,36,16
0,1,8,39,4,5,1916,0,1521,16,64
1,0,6,51,0,4,1266,51,2601,0,36
1,0,5,53,3,5,1633,53,2809,9,25
1,0,4,52,3,4,1724,52,2704,9,16
1,0,8,53,2,4,1433,53,2809,4,64
1,0,6,52,2,5,1299,52,2704,4,36
1,0,6,51,0,4,1246,51,2601,0,36
1,0,5,53,4,4,1892,53,2809,16,25
1,0,1,50,1,4,1249,50,2500,1,1
0,1,2,36,2,3,1099,0,1296,4,4
1,0,5,53,4,4,1788,53,2809,16,25
1,0,4,53,5,4,2168,53,2809,25,16
0,1,1,37,5,4,1413,0,1369,25,1
1,0,7,53,3,4,1324,53,2809,9,49
1,0,6,52,1,4,1647,52,2704,1,36
0,1,6,38,4,4,1528,0,1444,16,36
0,1,4,36,1,6,1177,0,1296,1,16
0,1,3,38,5,5,1691,0,1444,25,9
1,0,6,52,1,7,1760,52,2704,1,36
1,0,9,53,2,5,2361,53,2809,4,81
1,0,7,53,3,5,1948,53,2809,9,49
1,0,6,54,6,4,2638,54,2916,36,36
0,1,8,39,4,2,1315,0,1521,16,64
1,0,7,53,3,4,1711,53,2809,9,49
0,1,3,39,7,4,1614,0,1521,49,9
1,0,3,52,3,6,1502,52,2704,9,9
1,0,4,52,3,5,1233,52,2704,9,16
1,0,4,53,5,5,1458,53,2809,25,16
1,0,8,52,1,5,1807,52,2704,1,64
1,0,3,54,7,4,2236,54,2916,49,9
1,0,10,54,3,4,2232,54,2916,9,100
1,0,7,54,5,4,2462,54,2916,25,49
1,0,6,52,1,6,1268,52,2704,1,36
1,0,9,54,3,3,1992,54,2916,9,81
1,0,4,53,4,5,1949,53,2809,16,16
1,0,5,53,4,5,1551,53,2809,16,25
1,0,5,53,3,6,1768,53,2809,9,25
1,0,4,52,2,3,1373,52,2704,4,16
1,0,5,52,2,5,1815,52,2704,4,25
1,0,8,54,4,5,2348,54,2916,16,64
1,0,5,53,4,5,1621,53,2809,16,25
1,0,2,51,2,4,1402,51,2601,4,4
1,0,9,54,3,4,2286,54,2916,9,81
1,0,9,52,1,6,1947,52,2704,1,81
1,0,8,53,2,4,2094,53,2809,4,64
1,0,6,54,5,4,1744,54,2916,25,36
1,0,5,53,4,5,1492,53,2809,16,25
1,0,1,50,1,4,675,50,2500,1,1
1,0,3,51,2,4,908,51,2601,4,9
0,1,5,36,1,4,676,0,1296,1,25
1,0,6,53,3,6,1564,53,2809,9,36
1,0,5,52,2,3,1649,52,2704,4,25
1,0,10,53,1,4,2406,53,2809,1,100
1,0,7,53,2,2,1699,53,2809,4,49
1,0,3,52,3,3,2033,52,2704,9,9
0,1,10,37,0,3,1430,0,1369,0,100
1,0,2,52,4,3,1360,52,2704,16,4
1,0,8,53,3,6,2168,53,2809,9,64
1,0,7,53,2,6,1832,53,2809,4,49
0,1,10,39,3,5,1533,0,1521,9,100
1,0,3,51,2,5,1040,51,2601,4,9
0,1,3,36,2,4,1211,0,1296,4,9
1,0,4,55,9,5,2421,55,3025,81,16
0,1,1,36,3,4,1356,0,1296,9,1
0,1,3,37,3,3,1742,0,1369,9,9
1,0,3,52,4,4,1684,52,2704,16,9
1,0,7,53,3,5,1432,53,2809,9,49
1,0,6,53,4,3,2111,53,2809,16,36
0,1,8,39,4,4,1678,0,1521,16,64
1,0,4,52,3,4,1516,52,2704,9,16
1,0,6,53,3,3,1489,53,2809,9,36
1,0,3,53,6,4,1974,53,2809,36,9
1,0,6,53,4,3,1886,53,2809,16,36
0,1,8,41,9,5,3054,0,1681,81,64
1,0,4,54,6,4,1958,54,2916,36,16
1,0,4,52,2,4,1500,52,2704,4,16
0,1,4,39,6,3,1942,0,1521,36,16
0,1,8,38,3,2,1757,0,1444,9,64
1,0,8,54,5,4,2281,54,2916,25,64
1,0,3,53,5,5,1980,53,2809,25,9
1,0,3,52,3,2,1800,52,2704,9,9
1,0,3,52,3,2,1202,52,2704,9,9
0,1,0,35,4,4,1082,0,1225,16,0
1,0,9,54,3,4,2267,54,2916,9,81
0,1,6,38,4,3,1889,0,1444,16,36
1,0,4,54,6,3,1254,54,2916,36,16
1,0,5,54,5,2,2007,54,2916,25,25
1,0,3,52,3,4,1543,52,2704,9,9
0,1,7,38,3,5,1431,0,1444,9,49
1,0,6,53,4,4,2149,53,2809,16,36
1,0,0,50,4,4,1268,50,2500,16,0
1,0,5,53,4,5,1724,53,2809,16,25
1,0,4,51,1,3,1182,51,2601,1,16
1,0,5,51,1,3,1490,51,2601,1,25
0,1,4,39,6,4,1589,0,1521,36,16
1,0,7,54,4,4,1939,54,2916,16,49
1,0,5,51,1,3,1117,51,2601,1,25
