File Name,Length,Width,Label
0140.jpg,453.01,337.01,2
0142.jpg,451.32,334.22,1
0144.jpg,404.73,350.3,2
0146.jpg,451.01,336.01,2
0148.jpg,451.01,338.01,2
0152.jpg,452.28,337.18,1
0165.jpg,452.13,334.1,0
0166.jpg,452.0,337.0,2
0171.jpg,436.87,333.55,1
0177.jpg,489.94,292.35,1
0180.jpg,477.6,307.02,1
0181.jpg,453.0,338.0,2
0188.jpg,421.97,340.36,1
0197.jpg,453.44,335.34,1
0198.jpg,453.0,338.0,2
0203.jpg,450.02,338.02,1
0204.jpg,455.13,319.83,1
0209.jpg,453.09,333.07,1
0211.jpg,452.25,338.18,2
0212.jpg,451.12,324.23,1
0218.jpg,451.0,337.0,1
0224.jpg,459.92,324.39,0
0226.jpg,442.65,330.49,1
0227.jpg,452.02,335.01,2
0232.jpg,453.0,338.0,2
0233.jpg,450.04,338.02,2
0236.jpg,453.0,338.0,2
0238.jpg,452.4,336.29,1
0239.jpg,453.0,337.01,0
0248.jpg,453.0,338.0,2
0249.jpg,457.09,329.07,2
0251.jpg,450.22,334.18,1
0252.jpg,453.03,334.02,2
0253.jpg,465.21,303.92,1
0262.jpg,450.03,338.02,1
0264.jpg,454.01,337.01,0
0274.jpg,450.11,329.07,2
0275.jpg,454.04,332.04,2
0287.jpg,454.01,335.01,2
0310.jpg,453.0,338.0,2
0315.jpg,452.05,335.05,1
0318.jpg,416.8,339.74,0
0337.jpg,454.13,318.83,1
0347.jpg,453.0,338.0,2
0352.jpg,453.02,336.01,2
0358.jpg,453.0,338.0,2
0382.jpg,451.0,337.01,2
0396.jpg,453.0,338.0,2
0403.jpg,453.0,337.01,2
0413.jpg,453.0,338.0,2
0424.jpg,452.0,337.0,2
0429.jpg,452.0,337.0,2
0433.jpg,522.53,284.06,1
0445.jpg,433.9,339.71,1
0451.jpg,457.16,327.12,2
0459.jpg,453.01,336.01,2
0467.jpg,435.11,323.82,1
0496.jpg,465.03,325.68,1
0500.jpg,493.36,300.76,1
0503.jpg,452.11,336.1,0
0508.jpg,452.0,337.0,1
0520.jpg,409.45,355.88,0
0521.jpg,452.0,338.01,2
0523.jpg,453.0,338.0,2
0529.jpg,453.0,338.0,2
0532.jpg,453.0,338.0,1
0551.jpg,453.0,337.0,2
0591.jpg,452.0,336.01,0
0607.jpg,452.0,336.01,0
0619.jpg,454.58,333.88,1
0686.jpg,456.05,331.05,2
0687.jpg,452.07,333.04,1
0689.jpg,453.0,337.0,2
0710.jpg,451.02,338.01,2
0763.jpg,444.22,340.15,1
0816.jpg,472.65,317.46,1
0850.jpg,453.01,338.01,2
0959.jpg,459.09,330.07,2
0971.jpg,484.69,294.64,1
1013.jpg,452.0,337.01,1
1015.jpg,450.11,330.07,1
1043.jpg,452.01,338.01,2
1083.jpg,452.81,335.6,1
